SVI Theme: Socioeconomic Status; Overall Socioeconomic Status (Percentile); NaturalBreaks
Data downloaded on 25-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2015-Percentage,Overall Socioeconomic Status-2014-Percentile
02198,Prince of Wales-Hyder Census Area,Alaska,9.4,0.4938
02220,Sitka City and Borough,Alaska,7.6,0.0264
02230,Skagway Municipality,Alaska,8,0.0076
02240,Southeast Fairbanks Census Area,Alaska,8.9,0.2289
02261,Valdez-Cordova Census Area,Alaska,8.6,0.2006
02270,Wade Hampton Census Area,Alaska,No Data,0.9895
02275,Wrangell City and Borough,Alaska,8.8,0.1305
02282,Yakutat City and Borough,Alaska,8.2,0.1079
02290,Yukon-Koyukuk Census Area,Alaska,8.6,0.8937
04001,Apache County,Arizona,11.6,0.9917
04003,Cochise County,Arizona,8.1,0.5692
04005,Coconino County,Arizona,7,0.6355
04007,Gila County,Arizona,8.2,0.8077
04009,Graham County,Arizona,9.6,0.8488
04011,Greenlee County,Arizona,9.1,0.5374
04012,La Paz County,Arizona,9,0.8029
04013,Maricopa County,Arizona,8.3,0.4585
04015,Mohave County,Arizona,8.8,0.8052
04017,Navajo County,Arizona,10.8,0.9621
04019,Pima County,Arizona,7.3,0.5727
04021,Pinal County,Arizona,10.3,0.7007
04023,Santa Cruz County,Arizona,8.9,0.9417
04025,Yavapai County,Arizona,7,0.4766
04027,Yuma County,Arizona,11.4,0.9236
05001,Arkansas County,Arkansas,9,0.5696
05003,Ashley County,Arkansas,10.6,0.7889
05005,Baxter County,Arkansas,9.6,0.5428
05007,Benton County,Arkansas,7.6,0.2292
05009,Boone County,Arkansas,9.5,0.6301
05011,Bradley County,Arkansas,9.6,0.7733
05013,Calhoun County,Arkansas,8.8,0.6377
05015,Carroll County,Arkansas,8.7,0.625
05017,Chicot County,Arkansas,10,0.9309
05019,Clark County,Arkansas,8.2,0.8032
05021,Clay County,Arkansas,9.3,0.8793
05023,Cleburne County,Arkansas,7.6,0.6145
05025,Cleveland County,Arkansas,7.6,0.687
05027,Columbia County,Arkansas,9.5,0.794
05029,Conway County,Arkansas,10.5,0.6842
05031,Craighead County,Arkansas,10.4,0.5954
05033,Crawford County,Arkansas,9.2,0.6724
05035,Crittenden County,Arkansas,13,0.8889
05037,Cross County,Arkansas,9.9,0.7959
05039,Dallas County,Arkansas,9.5,0.5893
05041,Desha County,Arkansas,10,0.9456
05043,Drew County,Arkansas,10.8,0.923
05045,Faulkner County,Arkansas,9.4,0.3263
05047,Franklin County,Arkansas,9.7,0.7927
05049,Fulton County,Arkansas,9.2,0.7278
05051,Garland County,Arkansas,7.8,0.6422
05053,Grant County,Arkansas,8.1,0.4982
05055,Greene County,Arkansas,10.3,0.7004
05057,Hempstead County,Arkansas,8.6,0.8746
05059,Hot Spring County,Arkansas,9.7,0.5785
05061,Howard County,Arkansas,10.3,0.8007
05063,Independence County,Arkansas,8.7,0.731
05065,Izard County,Arkansas,10.5,0.7997
05067,Jackson County,Arkansas,8.5,0.8717
05069,Jefferson County,Arkansas,14.8,0.8415
05071,Johnson County,Arkansas,8.7,0.7408
05073,Lafayette County,Arkansas,9.1,0.9513
05075,Lawrence County,Arkansas,9.2,0.8144
05077,Lee County,Arkansas,10.4,0.9955
05079,Lincoln County,Arkansas,8.4,0.9815
05081,Little River County,Arkansas,9.2,0.5871
05083,Logan County,Arkansas,9.8,0.6724
05085,Lonoke County,Arkansas,11.4,0.3868
05087,Madison County,Arkansas,8.3,0.787
05089,Marion County,Arkansas,8.7,0.7568
05091,Miller County,Arkansas,7.9,0.7033
05093,Mississippi County,Arkansas,12.4,0.9293
05095,Monroe County,Arkansas,9.9,0.9618
05097,Montgomery County,Arkansas,9.5,0.6466
05099,Nevada County,Arkansas,9,0.8997
05101,Newton County,Arkansas,8,0.6457
05103,Ouachita County,Arkansas,10.1,0.7934
05105,Perry County,Arkansas,8.1,0.4648
05107,Phillips County,Arkansas,11.2,0.9819
05109,Pike County,Arkansas,8.4,0.7803
05111,Poinsett County,Arkansas,10.7,0.9382
05113,Polk County,Arkansas,9.5,0.7026
05115,Pope County,Arkansas,8.5,0.6571
05117,Prairie County,Arkansas,8.4,0.6851
05119,Pulaski County,Arkansas,11.3,0.348
05121,Randolph County,Arkansas,10.3,0.6759
05125,Saline County,Arkansas,10.5,0.191
05127,Scott County,Arkansas,8.7,0.8329
05129,Searcy County,Arkansas,8.4,0.7765
05131,Sebastian County,Arkansas,9.9,0.6011
05133,Sevier County,Arkansas,8.7,0.9472
05135,Sharp County,Arkansas,9.1,0.8679
05123,St. Francis County,Arkansas,14,0.9567
05137,Stone County,Arkansas,10,0.7281
05139,Union County,Arkansas,9.7,0.7434
05141,Van Buren County,Arkansas,7.4,0.9112
05143,Washington County,Arkansas,9.4,0.5769
05145,White County,Arkansas,7.2,0.5874
05147,Woodruff County,Arkansas,8.1,0.9659
05149,Yell County,Arkansas,8.8,0.8071
06001,Alameda County,California,7.4,0.3359
06003,Alpine County,California,7.8,0.2725
06005,Amador County,California,6.7,0.4651
06007,Butte County,California,8.3,0.6543
06009,Calaveras County,California,8.2,0.284
06011,Colusa County,California,7.8,0.7587
06013,Contra Costa County,California,7.9,0.2544
06015,Del Norte County,California,8.2,0.8583
06017,El Dorado County,California,6.7,0.227
06019,Fresno County,California,10.9,0.9427
06021,Glenn County,California,8,0.8558
06023,Humboldt County,California,7,0.5985
06025,Imperial County,California,10.9,0.9806
06027,Inyo County,California,7,0.3235
06029,Kern County,California,10.5,0.9144
06031,Kings County,California,8.2,0.951
06033,Lake County,California,9.8,0.8309
06035,Lassen County,California,8.6,0.8163
06037,Los Angeles County,California,9.1,0.652
06039,Madera County,California,8.4,0.8975
06041,Marin County,California,4.9,0.07
06043,Mariposa County,California,7.2,0.482
06045,Mendocino County,California,6.7,0.6877
06047,Merced County,California,11.2,0.9758
06049,Modoc County,California,7.7,0.7313
06051,Mono County,California,7.6,0.3712
06053,Monterey County,California,7.5,0.6714
06055,Napa County,California,7.5,0.3091
06057,Nevada County,California,6.9,0.2401
06059,Orange County,California,7.7,0.3528
06061,Placer County,California,6,0.1299
06063,Plumas County,California,7.3,0.4696
06065,Riverside County,California,8.8,0.7303
06067,Sacramento County,California,8.5,0.5922
06069,San Benito County,California,7.9,0.6001
06071,San Bernardino County,California,9.4,0.8332
06073,San Diego County,California,7.4,0.4043
06075,San Francisco County,California,7.6,0.2646
06077,San Joaquin County,California,10.3,0.8214
06079,San Luis Obispo County,California,5.7,0.2767
06081,San Mateo County,California,7.3,0.142
06083,Santa Barbara County,California,8.6,0.5065
06085,Santa Clara County,California,7.5,0.2512
06087,Santa Cruz County,California,7.8,0.3773
06089,Shasta County,California,7,0.5947
06091,Sierra County,California,7.5,0.2878
06093,Siskiyou County,California,7.4,0.7192
06095,Solano County,California,9.4,0.4183
06097,Sonoma County,California,7,0.3321
06099,Stanislaus County,California,10.1,0.8596
06101,Sutter County,California,8.3,0.7342
06103,Tehama County,California,8.2,0.8074
06105,Trinity County,California,7.1,0.596
06107,Tulare County,California,8.6,0.9748
06109,Tuolumne County,California,6.8,0.4912
06111,Ventura County,California,7.7,0.3578
06113,Yolo County,California,6.7,0.5511
06115,Yuba County,California,8.5,0.9019
08001,Adams County,Colorado,8.2,0.5314
08003,Alamosa County,Colorado,7.7,0.829
08005,Arapahoe County,Colorado,6.8,0.1659
08007,Archuleta County,Colorado,5.6,0.2174
08009,Baca County,Colorado,8.1,0.4171
08011,Bent County,Colorado,7.7,0.8392
08013,Boulder County,Colorado,3.9,0.1414
08014,Broomfield County,Colorado,6.9,0.0153
08015,Chaffee County,Colorado,5.4,0.1258
08017,Cheyenne County,Colorado,7.5,0.2537
08019,Clear Creek County,Colorado,7.8,0.0551
08021,Conejos County,Colorado,7.3,0.737
08023,Costilla County,Colorado,8.2,0.9233
08025,Crowley County,Colorado,8.4,0.9889
08027,Custer County,Colorado,6.1,0.4464
08029,Delta County,Colorado,6,0.5575
08031,Denver County,Colorado,6.4,0.4021
08033,Dolores County,Colorado,6.5,0.5845
08035,Douglas County,Colorado,4.7,0.0019
08037,Eagle County,Colorado,4.1,0.0755
08041,El Paso County,Colorado,7,0.2225
08039,Elbert County,Colorado,5.1,0.0474
08043,Fremont County,Colorado,8,0.6991
08045,Garfield County,Colorado,6.2,0.3298
08047,Gilpin County,Colorado,6.2,0.0347
08049,Grand County,Colorado,6.4,0.0691
08051,Gunnison County,Colorado,5.3,0.3244
08053,Hinsdale County,Colorado,7.2,0.0073
08055,Huerfano County,Colorado,8.5,0.723
08057,Jackson County,Colorado,7.4,0.2974
08059,Jefferson County,Colorado,4.8,0.0567
08061,Kiowa County,Colorado,8.1,0.2728
08063,Kit Carson County,Colorado,7,0.525
08067,La Plata County,Colorado,5.1,0.071
08065,Lake County,Colorado,7.2,0.1821
08069,Larimer County,Colorado,5.1,0.1585
08071,Las Animas County,Colorado,8.2,0.5479
08073,Lincoln County,Colorado,7.2,0.7081
08075,Logan County,Colorado,8,0.5976
08077,Mesa County,Colorado,5.8,0.3862
08079,Mineral County,Colorado,6.1,0.0003
08081,Moffat County,Colorado,7.4,0.2397
08083,Montezuma County,Colorado,6.8,0.5113
08085,Montrose County,Colorado,7.2,0.5762
08087,Morgan County,Colorado,8.6,0.4941
08089,Otero County,Colorado,7.4,0.8606
08091,Ouray County,Colorado,6.6,0.1557
08093,Park County,Colorado,5.8,0.0455
08095,Phillips County,Colorado,9.1,0.5263
08097,Pitkin County,Colorado,5.4,0.0678
08099,Prowers County,Colorado,9.5,0.8246
08101,Pueblo County,Colorado,8.6,0.6523
08103,Rio Blanco County,Colorado,6.4,0.2108
08105,Rio Grande County,Colorado,6.7,0.6915
08107,Routt County,Colorado,3.9,0.0452
08109,Saguache County,Colorado,8.2,0.8733
08111,San Juan County,Colorado,6.5,0.4645
08113,San Miguel County,Colorado,6.3,0.0309
08115,Sedgwick County,Colorado,7.1,0.49
08117,Summit County,Colorado,5.9,0.1022
08119,Teller County,Colorado,6.7,0.1353
08121,Washington County,Colorado,6.8,0.2404
08123,Weld County,Colorado,7.1,0.3591
08125,Yuma County,Colorado,7,0.2194
09001,Fairfield County,Connecticut,6.6,0.2165
09003,Hartford County,Connecticut,8.3,0.306
09005,Litchfield County,Connecticut,6.3,0.0968
09007,Middlesex County,Connecticut,5.4,0.0318
09009,New Haven County,Connecticut,8,0.3196
09011,New London County,Connecticut,7.3,0.155
09013,Tolland County,Connecticut,6.8,0.0681
09015,Windham County,Connecticut,9.5,0.3582
10001,Kent County,Delaware,11.6,0.4489
10003,New Castle County,Delaware,9,0.2089
10005,Sussex County,Delaware,10.1,0.3922
11001,District Of Columbia,District of Columbia,8.8,0.4161
12001,Alachua County,Florida,8.1,0.4865
12003,Baker County,Florida,9.6,0.7584
12005,Bay County,Florida,8.9,0.4706
12007,Bradford County,Florida,10.4,0.9054
12009,Brevard County,Florida,9.3,0.3973
12011,Broward County,Florida,8.8,0.4371
12013,Calhoun County,Florida,10.6,0.9121
12015,Charlotte County,Florida,8.5,0.4257
12017,Citrus County,Florida,9.7,0.6488
12019,Clay County,Florida,9.9,0.3505
